Country,GDPperCapita,Emissions,Electricity,HDI,LifeExpec,YrSchool,MeanYrSchool,GNIperCapita,GNIminusHDI,Development,Population,YearlyChange,NetChange,Density,LandArea,Migrants,UrbanPop,WorldShare,Pop Density,Continent,Democracy,Continent2
Qatar,"126,898",38.2,"34,000,000,000",0.8484407673,80.1,12.17887,9.66734,110488.7358,-40,Very High,"2,881,053",0.0173,"48,986",248,"11,610","40,000",0.96,0.0004,Low,Asia,3.19,Asia
Luxembourg,"113,337",16.9,"6,200,000,000",0.9087199366,82.102,14.22752,12.19580174,65543.05171,-13,Very High,"625,978",0.0166,"10,249",242,"2,590","9,741",0.88,0.0001,Low,Europe,8.81,Europe
Singapore,"101,531",9.7,"47,180,000,000",0.9348189742,83.458,16.32817,11.49649,83792.67432,-6,Very High,"5,850,342",0.0079,"46,005","8,358",700,"27,028",,0.0008,High,Asia,6.02,Asia
Ireland,"83,203",7.7,"25,000,000,000",0.9424728208,82.103,18.79326,12.52629458,55659.67902,9,Very High,"4,937,786",0.0113,"55,291",72,"68,890","23,604",0.63,0.0006,Very Low,Europe,9.24,Europe
Brunei,"80,920",16.0,"3,766,000,000",0.8445869345,75.722,14.3801,9.1,76388.54336,-39,Very High,"437,479",0.0097,"4,194",83,"5,270",0,0.8,0.0001,Very Low,Asia,#N/A,#N/A
United Arab Emirates,"75,075",22.4,"96,000,000,000",0.8664376702,77.814,13.64343,10.95412,66911.66289,-28,Very High,"9,890,402",0.0123,"119,873",118,"83,600","40,000",0.86,0.0013,Low,Asia,2.76,Asia
Kuwait,"72,897",23.9,"54,000,000,000",0.8083524345,75.398,13.7588,7.275667996,71164.21501,-52,Very High,"4,270,571",0.0151,"63,488",240,"17,820","39,520",,0.0005,Low,Asia,3.93,Asia
Switzerland,"68,060",4.8,"58,000,000,000",0.9459361166,83.63,16.20882,13.38081241,59374.73403,8,Very High,"8,654,622",0.0074,"63,257",219,"39,516","52,000",0.74,0.0011,Low,Europe,9.03,Europe
Norway,"65,510",9.4,"126,400,000,000",0.9536883369,82.271,18.06082,12.56681764,68058.61613,5,Very High,"5,421,241",0.0079,"42,384",15,"365,268","28,000",0.83,0.0007,Very Low,Europe,9.87,Europe
United States,"62,794",16.1,"3,911,000,000,000",0.9199257494,78.851,16.27437,13.41344,56140.23348,-4,Very High,"331,002,651",0.0059,"1,937,734",36,"9,147,420","954,806",0.83,0.0425,Very Low,Americas,7.96,North America
Iceland,"57,303",12.1,"17,000,000,000",0.938473875,82.855,19.17451,12.53666119,47566.45467,12,Very High,"341,243",0.0065,"2,212",3,"100,250",380,0.94,0,Very Low,Europe,9.58,Europe
Netherlands,"56,328",9.5,"108,000,000,000",0.9334947,82.143,18.04483,12.1900128,50012.5936,3,Very High,"17,134,872",0.0022,"37,742",508,"33,720","16,000",0.92,0.0022,Medium,Europe,9.01,Europe
Denmark,"55,671",5.8,"32,000,000,000",0.9299461151,80.784,19.06606,12.58778516,48836.09375,4,Very High,"5,792,202",0.0035,"20,326",137,"42,430","15,200",0.88,0.0007,Low,Europe,9.22,Europe
Austria,"55,454",8.2,"69,750,000,000",0.9138085482,81.434,16.28676,12.55851074,46230.57167,0,Very High,"9,006,398",0.0057,"51,296",109,"82,409","65,000",0.57,0.0012,Low,Europe,8.29,Europe
Saudi Arabia,"55,335",18.6,"272,000,000,000",0.8569628131,74.998,16.9791,9.67145098,49338.40957,-22,Very High,"34,813,871",0.0159,"545,343",16,"2,149,690","134,979",0.84,0.0045,Very Low,Asia,1.93,Asia
Sweden,"53,208",4.5,"127,000,000,000",0.9366276344,82.654,18.83223,12.42604923,47955.44724,9,Very High,"10,099,265",0.0063,"62,886",25,"410,340","40,000",0.88,0.0013,Very Low,Europe,9.39,Europe
Germany,"53,074",9.1,"533,000,000,000",0.9387847061,81.18,17.09638,14.13215,46945.9499,15,Very High,"83,783,942",0.0032,"266,897",240,"348,560","543,822",0.76,0.0107,Low,Europe,8.68,Europe
Australia,"51,663",16.8,"224,000,000,000",0.9383785524,83.281,22.10372,12.68304986,44097.01934,15,Very High,"25,499,884",0.0118,"296,686",3,"7,682,300","158,246",0.86,0.0033,Very Low,Oceania,9.09,Oceania
Belgium,"51,408",9.2,"81,000,000,000",0.9188411969,81.468,19.69991,11.78389183,43820.84204,5,Very High,"11,589,623",0.0044,"50,295",383,"30,280","48,000",0.98,0.0015,Medium,Europe,7.64,Europe
Finland,"48,416",8.8,"81,000,000,000",0.9251917245,81.736,19.31641,12.43960917,41779.26491,12,Very High,"5,540,720",0.0015,"8,564",18,"303,890","14,000",0.86,0.0007,Very Low,Europe,9.25,Europe
Canada,"48,130",16.1,"528,000,000,000",0.9221113093,82.315,16.09144,13.31536312,43602.24929,10,Very High,"37,742,154",0.0089,"331,107",4,"9,093,510","242,032",0.81,0.0048,Very Low,Americas,9.22,North America
Bahrain,"47,303",21.8,"25,000,000,000",0.8377701902,77.163,15.25713,9.411832983,40399.11872,-18,Very High,"1,701,575",0.0368,"60,403","2,239",760,"47,800",0.89,0.0002,High,Asia,2.55,Asia
United Kingdom,"45,973",5.6,"309,000,000,000",0.9203515485,81.236,17.4429,12.95067,39507.28595,13,Very High,"67,886,011",0.0053,"355,839",281,"241,930","260,650",0.83,0.0087,Medium,Europe,8.52,Europe
France,"45,342",5.0,"431,000,000,000",0.8910567777,82.541,15.4858,11.41703591,40510.78081,0,Very High,"65,273,511",0.0022,"143,783",119,"547,557","36,527",0.82,0.0084,Low,Europe,8.12,Europe
Japan,"42,797",9.4,"934,000,000,000",0.9146963762,84.47,15.23057,12.8,40799.0143,6,Very High,"126,476,461",-0.003,"-383,840",347,"364,555","71,560",0.92,0.0162,Medium,Asia,7.99,Asia
Malta,"42,581",3.5,"2,000,000,000",0.8852656831,82.376,15.89665,11.28811066,34795.17858,6,Very High,"441,543",0.0027,"1,171","1,380",320,900,0.93,0.0001,High,Europe,7.95,Europe
Oman,"41,859",17.6,"25,000,000,000",0.8337894331,77.633,14.6641,9.731845912,37039.23091,-18,Very High,"5,106,626",0.0265,"131,640",16,"309,500","87,400",0.87,0.0007,Very Low,Asia,3.06,Asia
Italy,"41,830",5.8,"291,000,000,000",0.8825839786,83.352,16.2469,10.24509,36141.42829,2,Very High,"60,461,826",-0.0015,"-88,249",206,"294,140","148,943",0.69,0.0078,Low,Europe,7.52,Europe
New Zealand,"41,005",7.7,"40,000,000,000",0.9208861411,82.145,18.8376,12.678166,35107.50023,18,Very High,"4,822,233",0.0082,"39,170",18,"263,310","14,881",0.87,0.0006,Very Low,Oceania,9.26,Oceania
South Korea,"40,111",,"495,000,000,000",0.905831888,82.846,16.39381,12.18500103,36757.02363,8,Very High,"51,269,185",0.0009,"43,877",527,"97,230","11,731",0.82,0.0066,Medium,Asia,8,Asia
Israel,"39,919",7.9,"59,830,000,000",0.9062349435,82.819,15.99117,12.95921504,33649.6895,13,Very High,"8,655,535",0.016,"136,158",400,"21,640","10,000",0.93,0.0011,Medium,Asia,7.86,Asia
Czech Republic,"39,743",10.4,"60,000,000,000",0.8907546579,79.222,16.83158,12.74035051,31597.07111,12,Very High,"10,708,981",0.0018,"19,772",139,"77,240","22,011",0.74,0.0014,Low,Europe,7.69,Europe
Spain,"39,715",6.0,"234,000,000,000",0.8927884608,83.433,17.87704,9.819481806,35041.29991,8,Very High,"46,754,778",0.0004,"18,002",94,"498,800","40,000",0.8,0.006,Very Low,Europe,8.29,Europe
Slovenia,"38,048",7.5,"13,000,000,000",0.901601081,81.172,17.42218,12.27337909,32143.04239,13,Very High,"2,078,938",0.0001,284,103,"20,140","2,000",0.55,0.0003,Low,Europe,7.5,Europe
Cyprus,"36,155(2017)",6.3,"3,900,000,000",0.8729553939,80.828,14.67400082,12.10394114,33100.31857,5,Very High,"1,207,359",0.0073,"8,784",131,"9,240","5,000",0.67,0.0002,Low,Europe,7.59,Asia
Estonia,"35,973",18.6,"8,200,000,000",0.8815422979,78.567,16.06362,13.0290394,30378.62982,10,Very High,"1,326,535",0.0007,887,31,"42,390","3,911",0.68,0.0002,Very Low,Europe,7.9,Europe
